% ut_id throughput_kbps
100 494.456
99 494.515
98 494.337
97 494.342
96 494.327
95 494.569
94 474.909
93 494.346
92 494.676
91 494.705
90 494.399
89 494.529
88 494.39
87 494.398
86 474.964
85 474.746
84 474.887
83 494.631
82 494.813
81 451.937
80 492.9
79 494.458
78 494.519
77 443.783
76 481.461
75 483.177
74 475.076
73 475.05
72 442.006
71 479.795
70 477.626
69 477.53
68 480.526
67 477.665
66 474.961
65 474.797
64 474.966
63 474.962
62 474.902
61 474.842
60 453.312
59 494.465
58 474.841
57 475.016
56 474.788
55 482.703
54 446.654
53 487.919
52 488.027
51 474.997
50 474.79
49 492.547
48 494.402
47 446.102
46 484.958
45 494.586
44 494.581
43 494.353
42 494.442
41 494.271
40 494.348
39 494.291
38 474.788
37 474.692
36 474.688
35 494.466
34 477.563
33 474.798
32 474.793
31 494.486
30 494.651
29 494.683
28 441.965
27 479.802
26 269.709
25 474.689
24 494.354
23 475.123
22 483.445
21 477.504
20 453.444
19 494.609
18 442.051
17 479.732
16 474.961
15 474.811
14 474.738
13 441.953
12 479.623
11 442.105
10 479.354
9 474.705
8 475.122
7 474.685
6 474.848
5 477.656
4 483.103
3 474.688
2 155.141
1 494.661

