% ut_id throughput_kbps
100 532.028
99 531.967
98 531.962
97 531.962
96 532.633
95 531.962
94 511.197
93 532.513
92 532.146
91 531.962
90 531.961
89 532.688
88 531.314
87 532.689
86 511.78
85 511.783
84 511.783
83 532.27
82 529.893
81 532.173
80 530.542
79 532.149
78 529.899
77 519.739
76 516.046
75 520.687
74 511.782
73 511.779
72 520.58
71 516.545
70 514.769
69 512.411
68 517.274
67 514.767
66 511.177
65 511.296
64 511.684
63 510.21
62 510.171
61 511.235
60 533.938
59 532.651
58 511.777
57 510.437
56 511.412
55 530.628
54 526.937
53 525.687
52 525.687
51 511.05
50 511.17
49 533.155
48 533.184
47 525.703
46 522.699
45 532.687
44 532.633
43 533.92
42 533.901
41 533.901
40 533.92
39 532.633
38 511.78
37 511.288
36 510.712
35 531.339
34 514.763
33 510.719
32 511.473
31 531.18
30 532.61
29 532.693
28 520.754
27 516.719
26 528.866
25 510.651
24 531.963
23 511.777
22 520.744
21 514.28
20 533.35
19 532.045
18 520.362
17 516.311
16 511.383
15 511.299
14 511.044
13 520.029
12 515.994
11 520.089
10 516.054
9 511.232
8 511.473
7 510.98
6 511.049
5 514.462
4 520.498
3 510.51
2 529.718
1 532.713

