% ut_id throughput_kbps
100 532.024
99 531.967
98 531.958
97 531.962
96 531.423
95 531.964
94 511.197
93 531.521
92 532.138
91 531.929
90 531.962
89 532.707
88 531.432
87 532.689
86 511.783
85 511.781
84 511.816
83 531.737
82 532.406
81 486.73
80 530.552
79 531.818
78 530.057
77 477.668
76 518.507
75 520.689
74 511.786
73 511.816
72 476.217
71 516.563
70 514.787
69 514.198
68 517.272
67 514.771
66 511.174
65 511.294
64 511.692
63 510.333
62 510.281
61 511.223
60 488.315
59 532.641
58 511.769
57 510.542
56 510.727
55 526.311
54 481.343
53 525.678
52 525.674
51 511.052
50 510.928
49 530.721
48 532.694
47 480.863
46 522.704
45 532.709
44 532.881
43 532.64
42 532.615
41 532.614
40 532.633
39 532.632
38 511.768
37 511.289
36 510.829
35 531.476
34 514.78
33 510.816
32 511.473
31 531.342
30 532.637
29 532.692
28 476.407
27 516.751
26 293.142
25 510.76
24 531.975
23 511.777
22 520.741
21 514.298
20 487.803
19 532.062
18 476.032
17 516.327
16 511.383
15 511.315
14 511.041
13 475.668
12 516.01
11 475.728
10 516.074
9 511.25
8 511.474
7 510.978
6 511.048
5 514.459
4 520.49
3 510.615
2 170.934
1 532.725

