% ut_id throughput_kbps
100 501.454
99 494.181
98 501.854
97 494.222
96 491.225
95 494.232
94 501.946
93 490.478
92 500.783
91 501.798
90 497.061
89 495.216
88 501.837
87 495.264
86 495.233
85 501.977
84 501.968
83 491.951
82 491.702
81 498.235
80 498.235
79 493.174
78 492.419
77 491.387
76 499.006
75 491.188
74 501.94
73 501.962
72 498.574
71 498.566
70 501.961
69 501.063
68 500.383
67 495.236
66 501.108
65 500.377
64 501.845
63 501.852
62 501.805
61 494.053
60 501.824
59 501.832
58 501.847
57 501.851
56 499.737
55 501.836
54 501.836
53 494.225
52 501.836
51 494.251
50 493.505
49 502.345
48 502.345
47 524.941
46 494.543
45 494.26
44 507.059
43 507.051
42 507.051
41 507.051
40 507.051
39 507.044
38 499.354
37 501.839
36 501.84
35 501.848
34 501.824
33 501.841
32 499.337
31 501.824
30 501.849
29 501.83
28 501.849
27 501.842
26 494.705
25 501.846
24 493.764
23 501.832
22 501.84
21 498.475
20 501.841
19 501.849
18 501.919
17 501.912
16 498.043
15 501.85
14 501.831
13 501.844
12 501.818
11 493.849
10 493.842
9 500.747
8 491.749
7 501.842
6 501.804
5 499.315
4 498.93
3 494.247
2 493.739
1 495.394

