% ut_id throughput_kbps
100 525.191
99 517.686
98 525.514
97 517.598
96 514.5
95 517.618
94 525.536
93 513.733
92 524.504
91 525.525
90 520.557
89 518.626
88 525.527
87 518.61
86 518.629
85 525.654
84 525.672
83 515.313
82 515.062
81 521.841
80 521.845
79 516.538
78 515.782
77 514.641
76 522.565
75 514.517
74 525.535
73 525.593
72 522.123
71 522.134
70 525.635
69 524.84
68 524.149
67 518.609
66 524.866
65 524.049
64 525.857
63 525.553
62 525.478
61 517.492
60 525.803
59 525.866
58 525.889
57 525.543
56 523.278
55 525.892
54 525.8
53 517.95
52 525.867
51 517.657
50 516.847
49 526.064
48 526.088
47 525.83
46 517.983
45 518.085
44 525.888
43 525.927
42 525.898
41 525.956
40 525.902
39 525.879
38 518.004
37 525.55
36 525.537
35 525.543
34 525.937
33 525.534
32 522.916
31 525.519
30 525.952
29 525.867
28 525.849
27 525.894
26 518.207
25 525.553
24 517.2
23 525.571
22 525.6
21 522.049
20 525.564
19 525.535
18 525.571
17 525.595
16 521.598
15 525.539
14 525.539
13 525.577
12 525.571
11 517.265
10 517.236
9 524.403
8 515.133
7 525.534
6 525.544
5 523.393
4 522.554
3 517.627
2 517.253
1 519.243

