% ut_id throughput_kbps
100 529.142
99 524.924
98 529.141
97 524.925
96 525.778
95 524.926
94 529.169
93 525.216
92 529.143
91 529.147
90 526.518
89 525.764
88 529.141
87 525.764
86 525.764
85 529.48
84 529.477
83 525.242
82 525.24
81 529.424
80 529.476
79 525.24
78 525.242
77 525.188
76 529.463
75 525.658
74 529.169
73 529.164
72 529.145
71 529.146
70 529.166
69 529.146
68 529.14
67 525.45
66 529.142
65 529.141
64 529.459
63 529.143
62 529.143
61 525.456
60 529.404
59 529.456
58 529.458
57 529.141
56 529.458
55 529.457
54 529.406
53 525.24
52 529.456
51 524.926
50 525.24
49 529.456
48 529.463
47 529.403
46 525.24
45 525.241
44 529.458
43 529.457
42 529.458
41 529.457
40 529.458
39 529.457
38 525.241
37 529.143
36 529.141
35 529.143
34 529.456
33 529.142
32 529.143
31 529.141
30 529.455
29 529.458
28 529.405
27 529.456
26 525.455
25 529.141
24 524.929
23 529.146
22 529.144
21 528.112
20 529.145
19 529.14
18 529.141
17 529.14
16 527.049
15 529.141
14 529.14
13 529.142
12 529.14
11 524.924
10 524.926
9 529.143
8 524.926
7 529.141
6 529.142
5 529.142
4 529.151
3 524.925
2 524.927
1 527.58

