% ut_id throughput_kbps
100 2984.16
99 2980.16
98 2984.14
97 2984.07
96 2980.8
95 2978.48
94 2958.85
93 2980.76
92 2979.28
91 2984.18
90 2983.99
89 2981.5
88 2983.31
87 2981.59
86 2954.96
85 2956.49
84 2957.47
83 2980.61
82 2981.22
81 2982.98
80 2978.09
79 2980.69
78 2980.44
77 2974.95
76 2965.75
75 2962.23
74 2958.97
73 2968.33
72 2977.72
71 2968.64
70 2957.26
69 2959.3
68 2962.79
67 2963.02
66 2955.8
65 2955.8
64 2967.45
63 2967.7
62 2956.65
61 2958.68
60 2983.67
59 2980.07
58 2955.67
57 2954.97
56 2954.39
55 2984.46
54 2980.51
53 2974.78
52 2970.26
51 2958.85
50 2955.59
49 2980.77
48 2980.75
47 2977.01
46 2969.82
45 2980.79
44 2983.68
43 2984.45
42 2984.56
41 2984.34
40 2981.26
39 2983.83
38 2955.29
37 2954.04
36 2958.47
35 2980.85
34 2959.55
33 2956.59
32 2954.98
31 2980.84
30 2981.85
29 2982.95
28 2976.49
27 2967.36
26 2973.88
25 2956.82
24 2984.23
23 2958.29
22 2969.68
21 2954
20 2987.24
19 2984.27
18 2980.35
17 2972.86
16 2954.15
15 2957.79
14 2955.04
13 2977.55
12 2968.4
11 2977.49
10 2968.46
9 2958.75
8 2955.85
7 2955.74
6 2959.86
5 2958.66
4 2959.9
3 2958.15
2 2980.02
1 2983.7

