% time_sec delay_sec
0.110151 0.0101206
0.11467 0.0146392
0.116264 0.0162339
0.117237 0.0172066
0.118054 0.0180238
0.119649 0.0196186
0.125194 0.0251635
0.127007 0.026976
0.12801 0.0279798
0.130507 0.0304766
0.131542 0.0315115
0.134568 0.0345371
0.137002 0.0369717
0.140899 0.0408681
0.141996 0.0419652
0.144088 0.0440577
0.146647 0.0466167
0.146967 0.0469362
0.152045 0.0520146
0.155817 0.0557866
0.157412 0.0573814
0.157762 0.057732
0.162654 0.0626238
0.167639 0.0676089
0.168083 0.0680528
0.173224 0.0731935
0.173792 0.0737618
0.175947 0.0759165
0.179626 0.0795952
0.179945 0.0799147
0.182535 0.0825048
0.188547 0.0885163
0.188866 0.0888358
0.19127 0.0912393
0.191807 0.0917766
0.193215 0.0931847
0.194001 0.0939708
0.194321 0.0942903
0.194321 0.0942903
0.197533 0.0975025
0.199501 0.0994705
0.200722 0.100692
0.20126 0.101229
0.202108 0.102078
0.203392 0.103361
0.204116 0.104085
0.204559 0.104529
0.204879 0.104849
0.205354 0.105324
0.206047 0.106016
0.206957 0.106927
0.208428 0.108397
0.20912 0.10909
0.209564 0.109534
0.209884 0.109853
0.209884 0.109853
0.209884 0.109853
0.210203 0.0101961
0.210678 0.110648
0.212864 0.112834
0.213868 0.113837
0.214654 0.0146468
0.214973 0.114943
0.215293 0.115262
0.215737 0.115706
0.216243 0.0162358
0.217216 0.0172085
0.218033 0.0180257
0.218757 0.118726
0.219605 0.0195978
0.219925 0.119894
0.220773 0.120742
0.22159 0.121559
0.221972 0.121941
0.222696 0.122665
0.223544 0.123513
0.225232 0.0252247
0.226982 0.026975
0.227986 0.0279788
0.229301 0.12927
0.230305 0.130274
0.230624 0.0306169
0.231161 0.131131
0.231512 0.0315048
0.232205 0.132174
0.233799 0.133769
0.234554 0.0345473
0.234874 0.134843
0.235847 0.135816
0.236975 0.0369677
0.237419 0.137388
0.24088 0.0408726
0.241355 0.141324
0.241954 0.0419471
0.242336 0.142306
0.244055 0.044048
0.246365 0.146335
0.246716 0.0467088
0.247067 0.0470594
0.252021 0.0520134
0.255824 0.0558165
0.257387 0.0573802
0.2578 0.057793
0.26263 0.0626226
0.267522 0.0675144
0.268059 0.0680516
0.273199 0.0731923
0.273768 0.0737606
0.275922 0.0759152
