% ut_id throughput_kbps
100 1993.54
99 1895
98 2061.76
97 1999.29
96 2033.34
95 2061.56
94 1709.9
93 2055.36
92 2072.09
91 2073.1
90 1836.48
89 1937.33
88 1929.64
87 1760.23
86 2013.83
85 1967.42
84 1736.33
83 2056.28
82 2041.26
81 2021.93
80 1752.12
79 2060.76
78 1978.43
77 1996.88
76 1771.06
75 1960.71
74 2029.19
73 2045.16
72 1903.27
71 1996.12
70 2024
69 2030.23
68 1848.47
67 1746.68
66 2004.45
65 2001.5
64 1725.28
63 1871.8
62 1989.8
61 1942.81
60 1831.13
59 1599.93
58 1970.06
57 2020.4
56 2033.18
55 1547.06
54 1692.04
53 2010.98
52 1380.47
51 2020.4
50 1920.57
49 2074.58
48 2074.51
47 1728.23
46 1917.77
45 1803.75
44 1652.83
43 968.421
42 1133.87
41 1054.96
40 1140.38
39 924.741
38 1869.19
37 1615.82
36 1785.53
35 2003.8
34 1408.21
33 2006.85
32 1961.64
31 1844.62
30 2001.53
29 1825.96
28 2021.64
27 2017.03
26 1624.48
25 1837.06
24 1821.05
23 1775.32
22 2012.46
21 1925.16
20 1859.06
19 1891.08
18 1470.84
17 1428.5
16 1974.17
15 1574.28
14 1988.52
13 1985.5
12 1865.95
11 1879.59
10 1948.91
9 1918.8
8 1985.2
7 1991.82
6 1774.36
5 1796.65
4 1976.12
3 1944.38
2 1987.7
1 1996.24

