% time_sec delay_sec
1.19601 0.0958375
1.19601 0.0958375
1.29599 0.0958185
1.396 0.0958279
1.49617 0.400005
1.49655 0.0963729
1.59606 0.0958859
1.69592 0.0957483
1.79622 0.0960455
1.7989 0.40006
1.89606 0.0958895
1.99747 0.296626
1.99877 0.0985755
2.00223 0.104049
2.00555 0.103335
2.09752 0.191272
2.09874 0.098541
2.10188 0.103702
2.10631 0.104096
2.11022 0.103977
2.11464 0.104366
2.1185 0.104184
2.12516 0.106809
2.12778 0.105403
2.12791 0.105532
2.13093 0.104514
2.13599 0.103527
2.14022 0.103728
2.14459 0.104057
2.14908 0.104514
2.14921 0.104642
2.15242 0.103818
2.15633 0.103699
2.16069 0.104028
2.16422 0.103524
2.16935 0.10462
2.17436 0.105591
2.17878 0.103966
2.18231 0.103461
2.18661 0.103724
2.19077 0.103856
2.19577 0.104821
2.19987 0.0996782
2.20103 0.104864
2.20449 0.104291
2.20859 0.104363
2.21282 0.104561
2.21719 0.10489
2.22289 0.106565
2.22713 0.104752
2.23168 0.105269
2.23643 0.105983
2.24053 0.106055
2.24516 0.106643
2.24946 0.106909
2.25344 0.106856
2.25729 0.106671
2.26197 0.107322
2.26768 0.108998
2.2721 0.107369
2.27595 0.107188
2.28025 0.107454
2.28436 0.107526
2.28898 0.108111
2.29372 0.108819
2.29872 0.109784
2.3034 0.11043
2.30429 0.104097
2.30763 0.109449
2.31288 0.11067
2.31808 0.111832
2.32257 0.110273
2.32738 0.111049
2.33212 0.11176
2.33732 0.112922
2.34155 0.113122
2.34585 0.113388
2.35002 0.113526
2.35407 0.113535
2.35837 0.113801
2.36382 0.113203
2.36799 0.113341
2.37248 0.113798
2.37639 0.113679
2.37992 0.113174
2.38435 0.113569
2.38852 0.113704
2.40263 0.115711
2.40276 0.11584
2.40526 0.112291
2.40891 0.108714
2.41141 0.115247
2.41519 0.112983
2.42013 0.113888
2.42418 0.113897
2.42834 0.114032
2.43232 0.113972
2.43662 0.114238
2.44021 0.113797
2.44438 0.113934
2.44952 0.115036
2.45375 0.113223
2.45818 0.113617
2.46235 0.113755
2.4664 0.113764
2.47057 0.113902
2.47429 0.113589
2.47763 0.112894
2.4818 0.113031
2.48629 0.113488
2.49167 0.114841
2.49597 0.113085
2.50039 0.113476
2.50494 0.113993
2.5095 0.113335
2.51386 0.113664
2.5179 0.113673
2.52207 0.113807
2.52573 0.113431
2.53034 0.114014
2.53432 0.113957
2.53965 0.115251
2.54401 0.11356
2.54413 0.113688
2.54799 0.113506
2.55229 0.113772
2.55665 0.114101
2.56063 0.114048
2.56461 0.113991
2.56839 0.113744
2.57211 0.113431
2.58167 0.112907
2.58591 0.113108
2.59046 0.113625
2.59431 0.11344
2.59873 0.113832
2.60271 0.113775
2.60758 0.114618
2.60899 0.108798
2.61175 0.113574
2.61567 0.113455
2.62009 0.113849
2.62394 0.113664
2.62965 0.11534
2.63395 0.113586
2.63815 0.113755
2.64271 0.114278
2.64637 0.113902
2.65047 0.113974
2.65419 0.113661
2.65823 0.11367
2.6626 0.113999
2.6676 0.114973
2.67197 0.113285
2.67594 0.113228
2.68018 0.113429
2.68435 0.113566
2.69211 0.113259
2.69634 0.113457
2.70519 0.11424
2.7091 0.108906
2.70961 0.113453
2.71372 0.113525
2.71917 0.114944
2.72334 0.113065
2.72347 0.113193
2.72796 0.11365
2.73207 0.113722
2.73643 0.114054
2.74035 0.113932
2.74432 0.113875
2.74805 0.113565
2.75215 0.113637
2.75761 0.115059
2.76184 0.113245
2.76601 0.113383
