% ut_id throughput_kbps
100 11520.9
99 11489
98 11518.7
97 11509.9
96 11513.1
95 11486.5
94 11410.3
93 11522
92 11522.7
91 11525.5
90 11488.3
89 11513.7
88 11521.8
87 11510.4
86 11448
85 11435
84 11488
83 11406.4
82 11518.2
81 11451
80 11514.2
79 11469.6
78 11501.5
77 11484.4
76 11506
75 11466.5
74 11503.3
73 11401.8
72 11434.1
71 11511.9
70 11493.2
69 11473.2
68 11417.8
67 11417.3
66 11490.6
65 11409.7
64 11471
63 11471.6
62 11489.8
61 11471.8
60 11431.4
59 11514.1
58 11491.3
57 11498.4
56 11452.2
55 11403.5
54 11277
53 11477.2
52 11498.1
51 11426.5
50 11472.9
49 11199.1
48 11440.3
47 11434.7
46 11507.2
45 11522.9
44 11454.7
43 11441.9
42 11518.7
41 11485.2
40 11517.2
39 11515.9
38 11497.7
37 11458.2
36 11358.3
35 11523.3
34 11310.3
33 11437.9
32 11377.3
31 11501.6
30 11513.2
29 11501.6
28 11424.9
27 11516.2
26 6309
25 11498.6
24 11420.6
23 11394.8
22 11390
21 11463
20 11517.5
19 11516.9
18 11428.7
17 11486.5
16 11445.6
15 11402.9
14 11494
13 11331.8
12 11509.1
11 11430.2
10 11480
9 11463.3
8 11471.7
7 11461.3
6 11474.8
5 11492.2
4 11458.8
3 11438.8
2 3715.37
1 11463.6

