% ut_id throughput_kbps
100 11908.8
99 11908.8
98 11906.4
97 11909.7
96 11909.7
95 11909.3
94 11891.3
93 11907.3
92 11909.7
91 11909.7
90 11909.4
89 11908.4
88 11908.9
87 11906
86 11883.7
85 11886.3
84 11888.8
83 11909
82 11904.3
81 11919.2
80 11908.1
79 11906.6
78 11909.1
77 11914.1
76 11897.4
75 11888.4
74 11887.2
73 11887.2
72 11913.9
71 11898.3
70 11888.4
69 11888.6
68 11895.9
67 11890.8
66 11888.3
65 11886.1
64 11887.1
63 11885.2
62 11888.5
61 11887.3
60 11921.7
59 11908.8
58 11888.4
57 11888.5
56 11884.5
55 11919.9
54 11908.6
53 11906.1
52 11901.4
51 11885.6
50 11886.2
49 11911.4
48 11910.8
47 11912.1
46 11897
45 11908.3
44 11919.7
43 11919.1
42 11919
41 11918.8
40 11905.5
39 11918.1
38 11888.8
37 11888.4
36 11888.2
35 11909.3
34 11895.2
33 11884.8
32 11887.9
31 11909.8
30 11906.2
29 11907.7
28 11915.2
27 11898.3
26 11893.1
25 11893.2
24 11907.2
23 11888.5
22 11894.1
21 11888.1
20 11921.8
19 11909.2
18 11916.4
17 11900.3
16 11885.5
15 11895.7
14 11891.9
13 11916.3
12 11900.1
11 11912.1
10 11893.3
9 11888.2
8 11887.2
7 11888
6 11887.4
5 11886.5
4 11889.6
3 11886.7
2 11910.5
1 11913.9

