% ut_id throughput_kbps
100 11895.6
99 11894.8
98 11893
97 11893.8
96 11897.5
95 11897.7
94 11875.6
93 11894.7
92 11897.3
91 11897.7
90 11897.1
89 11895.7
88 11895.3
87 11898.7
86 11872.8
85 11873.1
84 11872.5
83 11895.9
82 11898.6
81 11900.2
80 11881
79 11894.3
78 11895.9
77 11887.1
76 11876.7
75 11871.8
74 11869.4
73 11872.6
72 11888.5
71 11878.8
70 11871.2
69 11871.7
68 11881.1
67 11876.8
66 11871.3
65 11875.8
64 11870.9
63 11869.4
62 11871
61 11872.8
60 11895.5
59 11881.8
58 11870.7
57 11867.6
56 11869.3
55 11863.6
54 11897.5
53 11876
52 11877.4
51 11851.1
50 11869.7
49 11861.8
48 11898.6
47 11887.6
46 11883.5
45 11894.7
44 11858.2
43 11895.8
42 11895.4
41 11895.2
40 11894.4
39 11892.9
38 11867.4
37 11871.1
36 11872.4
35 11895.1
34 11879.2
33 11872.4
32 11869
31 11897.6
30 11894.2
29 11898.8
28 11887.9
27 11883
26 6573.91
25 11879.9
24 11896.7
23 11872.2
22 11880.8
21 11871.4
20 11896.6
19 11886.8
18 11891.6
17 11853.2
16 11868.2
15 11882.6
14 11875.7
13 11890.6
12 11879.6
11 11881.9
10 11852.7
9 11871.4
8 11874.5
7 11871.2
6 11872
5 11868.5
4 11874.5
3 11870.9
2 3926.75
1 11900.9

