% ut_id throughput_kbps
100 1998.88
99 1898.39
98 2054.56
97 2043.37
96 2057.39
95 2088.76
94 1478.28
93 2085.78
92 2099.91
91 2100.07
90 1846
89 1975.64
88 1950.83
87 1900.35
86 2027.34
85 2047.99
84 2003.79
83 2084.38
82 2072.52
81 1952.99
80 1769.73
79 2085.79
78 1976.86
77 2063.74
76 1858.37
75 1753.57
74 2059.52
73 2073.15
72 1945.15
71 2032.36
70 1978.8
69 1946.79
68 2033.07
67 1876.86
66 2031.28
65 2016.46
64 2029.43
63 2028.64
62 2031.5
61 1669.5
60 1906.11
59 1618.69
58 2057.72
57 2044.38
56 2082.61
55 1800.74
54 1921.57
53 2062.79
52 1468.19
51 2022.95
50 2030.62
49 2103.48
48 2103.48
47 1757.56
46 2029.62
45 1829.65
44 1796.54
43 986.711
42 1119.73
41 1303.26
40 1130.29
39 890.05
38 1981.65
37 1705.84
36 1785.24
35 2018.8
34 1707.62
33 2019.63
32 1987.06
31 2028.17
30 2012.13
29 1947.26
28 2044.42
27 2055.37
26 1561.13
25 1860.57
24 1967.53
23 1645
22 2026.91
21 1831.49
20 1988.29
19 1763.97
18 1552.77
17 1465.83
16 1840.89
15 1381.02
14 1925.06
13 1953.55
12 1886.66
11 1532.49
10 1858.56
9 1913.11
8 1798.73
7 1972.92
6 1790.17
5 1918.8
4 1917.89
3 1944.59
2 1961.44
1 2011.51

