% ut_id throughput_kbps
100 1981.15
99 1881.36
98 2036.6
97 2025.58
96 2039.97
95 2071.51
94 1469.84
93 2067.64
92 2082.03
91 2081.99
90 1828.1
89 1960.22
88 1931.66
87 1884.84
86 2010.35
85 2030.72
84 1986.55
83 2066.29
82 2054.56
81 1937.78
80 1758.38
79 2067.92
78 1961.74
77 2046.69
76 1842.97
75 1742.4
74 2041.4
73 2054.83
72 1928.92
71 2014.54
70 1961.09
69 1929.65
68 2015.5
67 1861.63
66 2014.43
65 1999.57
64 2013.3
63 2010.06
62 2014.3
61 1659.15
60 1885.48
59 1602.52
58 2038.14
57 2028.28
56 2062.44
55 1789.63
54 1907.66
53 2046.33
52 1464.69
51 2006.38
50 2013.68
49 2084.43
48 2084.54
47 1740.38
46 1896.63
45 1812.44
44 1718.24
43 949.786
42 1081.68
41 1250.09
40 1087.22
39 886.597
38 1898.61
37 1689.15
36 1768.28
35 2002.3
34 1696.77
33 1999.03
32 1966.05
31 2011.24
30 1995.68
29 1931.52
28 2027.16
27 2039.17
26 1552.53
25 1847.08
24 1952.44
23 1633.54
22 2010.21
21 1815.28
20 1968.06
19 1752.37
18 1545.21
17 1461.75
16 1827.45
15 1375.3
14 1907.66
13 1936.25
12 1871.61
11 1524.11
10 1841.31
9 1897.97
8 1786.15
7 1956.26
6 1774.63
5 1901.69
4 1898.98
3 1928.08
2 1944.52
1 1994.97

