% ut_id throughput_kbps
100 2073.27
99 2020.36
98 2093.78
97 2089.58
96 2064.52
95 2069.4
94 1522.4
93 2089.58
92 2073.42
91 2093.77
90 2091.68
89 2018.72
88 2073.41
87 1944.27
86 2064.51
85 2068.18
84 2042.88
83 2069.54
82 2069.39
81 1993.15
80 1790.34
79 2089.58
78 1994.69
77 2069.11
76 1892.03
75 1786.9
74 2068.72
73 2068.73
72 1993.15
71 2073.42
70 2068.18
69 2018.6
68 2068.49
67 1938.08
66 2073.41
65 2073.38
64 2043.21
63 2094.31
62 2073.56
61 1712.01
60 2073.41
59 1873.25
58 2073.39
57 2073.41
56 2073.41
55 1816.3
54 1923.18
53 2090.26
52 1472.59
51 2089.58
50 2089.58
49 2094.46
48 2094.31
47 2073.27
46 2090.1
45 2069.25
44 2017.92
43 1397.48
42 1411.57
41 1722.97
40 1411.73
39 1411.56
38 2069.22
37 1992.65
36 2048.22
35 2094.31
34 1841.46
33 2073.27
32 2094.31
31 2073.41
30 2073.37
29 2068.48
28 2094.31
27 2073.55
26 1788.25
25 1948.27
24 2090.11
23 1891.49
22 2073.55
21 1972.21
20 2068.48
19 1942.59
18 1664.42
17 1588.05
16 1915.35
15 1588.73
14 2043.74
13 2043.88
12 1967.35
11 1660.75
10 1969.51
9 2023.36
8 1894.56
7 2073.38
6 1916.77
5 2043.74
4 2068.5
3 2044.23
2 2044.24
1 2092.73

