% ut_id throughput_kbps
100 2887.16
99 2887.49
98 2864.68
97 2886.48
96 2886.51
95 2885.6
94 2857.35
93 2886.33
92 2888.46
91 2881.16
90 2886.8
89 2807.99
88 2886.79
87 2886.78
86 2857.73
85 2856.58
84 2796.23
83 2888.17
82 2889.07
81 2793.03
80 2882.26
79 2887.1
78 2887.47
77 2834.7
76 2870.01
75 2842.16
74 2858.26
73 2873.21
72 2846.71
71 2870.34
70 2856.64
69 2771.07
68 2856.25
67 2861.35
66 2816.46
65 2856.69
64 2857.7
63 2844.7
62 2807.25
61 2856.99
60 2887.49
59 2884.88
58 2812.52
57 2870.96
56 2857.22
55 2884.66
54 2886.74
53 2871.76
52 2872.49
51 2857.94
50 2857.34
49 2763.04
48 2884.73
47 2829.81
46 2867.84
45 2821.49
44 2878.66
43 2886.01
42 2885.63
41 2872.6
40 2794.69
39 2885.56
38 2861.14
37 2860.35
36 2856.04
35 2887.06
34 2859.64
33 2856.69
32 2860.83
31 2887.09
30 2888.03
29 2888.44
28 2871.39
27 2871.48
26 1577.53
25 2856
24 2883.31
23 2858.63
22 2858.03
21 2855.97
20 2888.34
19 2885.72
18 2871.03
17 2871.14
16 2857.66
15 2861.01
14 2856.24
13 2871.5
12 2870.5
11 2775.32
10 2868.87
9 2830.88
8 2845.67
7 2842.87
6 2856.99
5 2857.07
4 2872.32
3 2856.17
2 926.025
1 2888.43

