% ut_id throughput_kbps
100 2983.97
99 2978.15
98 2984.18
97 2984.18
96 2980.08
95 2978.84
94 2959.31
93 2979.93
92 2979.7
91 2984.24
90 2984.24
89 2981.53
88 2983.77
87 2980.28
86 2956.15
85 2956.63
84 2959.04
83 2979.84
82 2980.66
81 2982.13
80 2978.1
79 2979.84
78 2980.65
77 2975.19
76 2966.18
75 2958.15
74 2959.02
73 2970.69
72 2977.77
71 2968.75
70 2957.22
69 2958.93
68 2970.12
67 2962.56
66 2956.38
65 2957.08
64 2956.16
63 2956
62 2956.04
61 2959.01
60 2984.44
59 2981.24
58 2955.69
57 2966.8
56 2954.42
55 2984.79
54 2981.59
53 2975.09
52 2969.18
51 2955.11
50 2955.59
49 2979.6
48 2980.96
47 2974.16
46 2965.26
45 2981.47
44 2983.89
43 2983.68
42 2983.68
41 2983.58
40 2980.27
39 2983.47
38 2960.74
37 2959.41
36 2958.14
35 2980.4
34 2959.49
33 2957.52
32 2958.63
31 2981.77
30 2982.73
29 2982.36
28 2976.76
27 2967.74
26 2967.23
25 2957.14
24 2984.37
23 2959.18
22 2959.29
21 2954.08
20 2987.48
19 2984.27
18 2977.79
17 2968.77
16 2954.34
15 2959.47
14 2955.72
13 2977.48
12 2968.45
11 2977.44
10 2968.51
9 2958.99
8 2955.97
7 2956.61
6 2958.99
5 2958.99
4 2971.42
3 2957.35
2 2981.07
1 2983.69

