% ut_id throughput_kbps
100 2975.38
99 2976.35
98 2976.25
97 2976.68
96 2978.65
95 2977.74
94 2944.76
93 2979.28
92 2977.94
91 2976.67
90 2975.7
89 2980.75
88 2975.69
87 2978.82
86 2947.21
85 2950.2
84 2953.19
83 2978.24
82 2978.7
81 2977.26
80 2974
79 2978.11
78 2978.58
77 2963.9
76 2962.15
75 2950.39
74 2944.62
73 2960.46
72 2961.05
71 2958.31
70 2949.65
69 2945.53
68 2959.61
67 2949.54
66 2950.12
65 2949.35
64 2948.96
63 2948.71
62 2948.79
61 2944.84
60 2979.83
59 2976.92
58 2948.23
57 2961.72
56 2947.23
55 2976.48
54 2978.49
53 2963.04
52 2962.94
51 2947.31
50 2947.86
49 2948.68
48 2977.02
47 2963.43
46 2960.91
45 2979.87
44 2977.43
43 2979.29
42 2979.76
41 2980.21
40 2980.19
39 2979.06
38 2953.94
37 2951.29
36 2949.98
35 2978.6
34 2954.19
33 2948.7
32 2951.76
31 2979.88
30 2981.43
29 2980.49
28 2965.31
27 2963.38
26 1643.79
25 2949.42
24 2978.1
23 2944.91
22 2945.96
21 2946.68
20 2976.65
19 2975.1
18 2961.96
17 2958.63
16 2947.27
15 2951.37
14 2947.93
13 2959.73
12 2957.39
11 2961.08
10 2957.79
9 2945.25
8 2946.11
7 2949.89
6 2943.87
5 2945.36
4 2961.85
3 2950.66
2 988.016
1 2981.87

