% ut_id throughput_kbps
100 2089.82
99 2078.51
98 2089.95
97 2078.79
96 2051.15
95 2078.76
94 2062.37
93 2073.92
92 2089.85
91 2090.32
90 2083.44
89 2050.64
88 2090.58
87 2050.94
86 2050.78
85 2062.88
84 2062.7
83 2073.71
82 2078.75
81 2089.8
80 2089.87
79 2078.35
78 2078.18
77 2078.69
76 2090.08
75 2049.94
74 2063.13
73 2062.92
72 2090.08
71 2090.08
70 2063.43
69 2089.78
68 2089.71
67 2050.83
66 2089.94
65 2089.65
64 2090.95
63 2090.74
62 2090.52
61 2079.73
60 2091.4
59 2091.43
58 2091.1
57 2090.85
56 2089.66
55 2091.53
54 2091.53
53 2080.21
52 2091.53
51 2078.64
50 2078.55
49 2093.25
48 2093.25
47 2219.77
46 2080.93
45 2080.1
44 2166.61
43 2166.57
42 2166.61
41 2166.57
40 2166.61
39 2166.61
38 2154.87
37 2090.74
36 2090.41
35 2090.7
34 2091.37
33 2090.38
32 2090.07
31 2090.46
30 2091.02
29 2091.18
28 2091.29
27 2091.25
26 2076.93
25 2090.29
24 2074.71
23 2091.11
22 2090.85
21 2087.38
20 2090.81
19 2090.81
18 2090.75
17 2090.78
16 2085.19
15 2090.68
14 2090.56
13 2090.05
12 2090.08
11 2078.42
10 2078.45
9 2089.81
8 2078.73
7 2090.49
6 2089.97
5 2090.02
4 2089.89
3 2079.42
2 2074.25
1 2085.44

