% ut_id throughput_kbps
100 2072.82
99 2061.45
98 2073.08
97 2061.91
96 2034.11
95 2061.81
94 2045.33
93 2055.49
92 2072.48
91 2073.66
90 2066.76
89 2034.13
88 2073.7
87 2034.56
86 2033.6
85 2046.06
84 2046.11
83 2057.01
82 2061.25
81 2071.85
80 2072.05
79 2061.57
78 2061.45
77 2060.69
76 2072.21
75 2032.91
74 2046.52
73 2046.59
72 2072.3
71 2072.38
70 2045.95
69 2072.77
68 2072.57
67 2034.31
66 2072.49
65 2072.28
64 2074.04
63 2073.4
62 2073.32
61 2062.54
60 2074.27
59 2074.33
58 2074.41
57 2073.09
56 2072.26
55 2074.68
54 2074.47
53 2063.07
52 2074.81
51 2061.84
50 2061.68
49 2075.06
48 2075.11
47 2074.71
46 2063.37
45 2062.98
44 2074.56
43 2074.92
42 2074.98
41 2074.84
40 2074.71
39 2074.8
38 2063.42
37 2074.21
36 2073.49
35 2073.46
34 2074.13
33 2073.55
32 2072.3
31 2073.07
30 2074.42
29 2074.45
28 2074.76
27 2074.88
26 2060.57
25 2073.67
24 2058.19
23 2074.67
22 2074.2
21 2070.34
20 2073.83
19 2074.01
18 2073.92
17 2074.24
16 2068.36
15 2074.1
14 2074.1
13 2072.71
12 2073.06
11 2061.69
10 2061.63
9 2072.65
8 2060.88
7 2073.52
6 2073.06
5 2072.19
4 2072.22
3 2062.09
2 2057.81
1 2067.22

