% ut_id throughput_kbps
100 2084.46
99 2080.25
98 2084.46
97 2080.26
96 2054.67
95 2080.26
94 2058.87
93 2080.26
92 2084.47
91 2084.45
90 2081.83
89 2054.66
88 2084.46
87 2054.66
86 2054.66
85 2058.87
84 2058.86
83 2080.26
82 2080.25
81 2084.46
80 2084.46
79 2080.26
78 2080.26
77 2080.26
76 2084.45
75 2054.67
74 2058.87
73 2058.87
72 2084.46
71 2084.46
70 2058.87
69 2084.46
68 2084.45
67 2054.67
66 2084.46
65 2084.45
64 2084.46
63 2084.47
62 2084.46
61 2080.78
60 2084.45
59 2084.45
58 2084.46
57 2084.46
56 2084.46
55 2084.46
54 2084.46
53 2080.25
52 2084.45
51 2080.26
50 2080.26
49 2084.45
48 2084.45
47 2084.45
46 2080.25
45 2080.26
44 2084.46
43 2084.46
42 2084.46
41 2084.46
40 2084.46
39 2084.46
38 2080.26
37 2084.46
36 2084.46
35 2084.46
34 2084.45
33 2084.46
32 2084.46
31 2084.46
30 2084.45
29 2084.46
28 2084.46
27 2084.45
26 2080.78
25 2084.45
24 2080.25
23 2084.46
22 2084.46
21 2083.41
20 2084.46
19 2084.45
18 2084.46
17 2084.45
16 2082.36
15 2084.45
14 2084.45
13 2084.46
12 2084.45
11 2080.25
10 2080.26
9 2084.47
8 2080.26
7 2084.46
6 2084.46
5 2084.46
4 2084.47
3 2080.26
2 2080.26
1 2082.89

