% ut_id throughput_kbps
100 2887.16
99 2887.48
98 2868.96
97 2886.48
96 2886.52
95 2885.7
94 2857.46
93 2886.36
92 2888.46
91 2888.83
90 2886.81
89 2887.35
88 2886.72
87 2886.78
86 2857.73
85 2856.56
84 2859.19
83 2888.16
82 2889.06
81 2833.27
80 2884.48
79 2887.2
78 2887.47
77 2846.71
76 2870.06
75 2862.85
74 2858.32
73 2880.87
72 2863.08
71 2870.38
70 2856.7
69 2856
68 2861.7
67 2861.34
66 2857.81
65 2856.68
64 2857.69
63 2745.58
62 2818.14
61 2856.97
60 2862.51
59 2884.93
58 2845.03
57 2870.9
56 2857.31
55 2884.66
54 2886.73
53 2871.76
52 2872.49
51 2857.93
50 2857.29
49 2842.32
48 2884.72
47 2775.52
46 2868.93
45 2826.92
44 2841.73
43 2849.12
42 2885.71
41 2884.63
40 2854.45
39 2884.56
38 2856.82
37 2856.01
36 2856.04
35 2877.28
34 2795.59
33 2856.69
32 2856.58
31 2887.09
30 2888.03
29 2888.42
28 2871.39
27 2871.48
26 1577.51
25 2856.04
24 2886.47
23 2858.61
22 2858.02
21 2855.77
20 2886.17
19 2885.73
18 2786.1
17 2871.13
16 2857.65
15 2861.02
14 2856.28
13 2871.47
12 2870.48
11 2781.87
10 2868.87
9 2855.97
8 2858.36
7 2855.91
6 2856.96
5 2856.98
4 2870.06
3 2856.14
2 929.299
1 2888.42

