% ut_id throughput_kbps
100 2984.02
99 2978.2
98 2984.18
97 2984.18
96 2980.16
95 2978.87
94 2959.31
93 2980.12
92 2979.78
91 2984.24
90 2984.24
89 2981.61
88 2983.78
87 2980.2
86 2956.17
85 2956.66
84 2959.11
83 2979.84
82 2980.73
81 2982.09
80 2977.96
79 2979.88
78 2980.73
77 2975.22
76 2966.1
75 2963.2
74 2959.09
73 2977.5
72 2977.82
71 2968.74
70 2957.32
69 2959
68 2969.95
67 2962.56
66 2956.45
65 2957.09
64 2956.3
63 2958.57
62 2956.07
61 2958.96
60 2984.42
59 2981.22
58 2955.71
57 2966.83
56 2954.5
55 2984.79
54 2981.69
53 2975.09
52 2969.18
51 2955.15
50 2955.65
49 2980.67
48 2980.33
47 2974.25
46 2965.24
45 2981.5
44 2983.83
43 2983.62
42 2983.62
41 2983.62
40 2980.31
39 2983.4
38 2957.13
37 2955.84
36 2956.94
35 2980.38
34 2959.51
33 2956.28
32 2955.1
31 2981.83
30 2982.72
29 2982.35
28 2976.78
27 2967.66
26 2967.72
25 2957.15
24 2984.37
23 2959.18
22 2959.22
21 2954.16
20 2987.49
19 2984.28
18 2977.79
17 2968.77
16 2954.28
15 2959.51
14 2955.75
13 2977.49
12 2968.46
11 2977.55
10 2968.51
9 2958.94
8 2955.97
7 2956.62
6 2958.99
5 2958.99
4 2970.87
3 2957.42
2 2981.13
1 2983.78

