% time_sec delay_sec
0.111666 0.0116358
0.113168 0.0131372
0.115976 0.0159451
0.116575 0.0165445
0.120285 0.0202543
0.121009 0.0209782
0.123132 0.0231017
0.123856 0.0238256
0.127815 0.0277843
0.130591 0.030561
0.133368 0.0333377
0.134279 0.0342482
0.135096 0.0350654
0.1361 0.0360692
0.136792 0.0367619
0.145292 0.0452618
0.148411 0.0483807
0.148979 0.048949
0.150885 0.0508548
0.151205 0.0511743
0.151524 0.0514938
0.155701 0.0556702
0.160872 0.060842
0.165422 0.0653916
0.166115 0.0660844
0.166652 0.0666216
0.172446 0.0724154
0.172765 0.0727349
0.173676 0.0736454
0.175115 0.0750846
0.180753 0.0807229
0.181073 0.0810424
0.181392 0.081362
0.183143 0.0831122
0.184862 0.0848314
0.185586 0.0855553
0.186061 0.0860303
0.18638 0.0863498
0.189219 0.0891888
0.191498 0.0914678
0.193093 0.0930626
0.193444 0.0934132
0.193856 0.093826
0.194332 0.094301
0.195055 0.0950249
0.195904 0.0958732
0.196223 0.0961927
0.196543 0.0965122
0.197391 0.0973605
0.198177 0.0981465
0.199461 0.0994303
0.201491 0.10146
0.201966 0.101936
0.202285 0.102255
0.202667 0.102637
0.204262 0.104232
0.20511 0.10508
0.206736 0.106706
0.207149 0.107118
0.207468 0.107438
0.209343 0.109313
0.209725 0.109694
0.209725 0.109694
0.21076 0.110729
0.211639 0.011632
0.211959 0.111928
0.212745 0.112714
0.213064 0.113034
0.213384 0.0133765
0.214045 0.114015
0.215578 0.115547
0.21596 0.0159525
0.216559 0.0165519
0.220238 0.0202307
0.220993 0.0209856
0.221966 0.121935
0.222285 0.122255
0.223102 0.123072
0.223422 0.0234145
0.223741 0.123711
0.224061 0.0240535
0.225718 0.125687
0.227499 0.127469
0.227819 0.0278114
0.229227 0.129196
0.230573 0.0305655
0.233318 0.0333111
0.234135 0.134105
0.234455 0.0344478
0.235054 0.0350472
0.236089 0.0360821
0.236782 0.0367749
0.238501 0.138471
0.240252 0.140221
0.240789 0.140758
0.244063 0.144033
0.245254 0.0452464
0.248372 0.0483653
0.248972 0.0489647
0.250847 0.0508394
0.251197 0.05119
0.251517 0.0515095
0.255662 0.0556548
0.260834 0.0608266
0.265383 0.0653762
0.266076 0.066069
0.266644 0.0666373
0.272407 0.0724
0.272727 0.0727195
0.273668 0.0736611
0.275108 0.0751004
0.280715 0.0807075
0.281034 0.0810271
0.281354 0.0813466
0.283104 0.0830968
0.284823 0.084816
0.285547 0.0855399
0.286053 0.086046
0.286373 0.0863655
0.289212 0.0892045
0.29146 0.0914524
0.293054 0.0930472
0.293436 0.0934289
0.293818 0.0938106
0.294293 0.0942856
0.295017 0.0950095
0.295865 0.0958578
0.296184 0.0961773
0.296504 0.0964968
0.297383 0.0973762
0.298169 0.0981622
0.299422 0.0994149
0.301452 0.101445
0.301927 0.10192
0.302247 0.10224
0.30266 0.102652
0.304223 0.104216
0.305072 0.105064
0.306697 0.10669
0.307141 0.107134
0.307461 0.107454
0.309336 0.109328
0.309686 0.109679
0.309686 0.109679
0.310752 0.110745
0.311632 0.0116166
0.311951 0.111944
0.312737 0.11273
0.313057 0.113049
0.313376 0.0133612
0.314038 0.114031
0.31557 0.115563
0.315952 0.0159371
0.316552 0.0165365
0.320261 0.0202464
0.320985 0.0209702
0.321927 0.12192
0.322246 0.122239
0.323064 0.123056
0.323383 0.023368
0.323703 0.123695
0.324022 0.024007
0.32571 0.125703
0.327492 0.127484
0.327811 0.027796
0.329219 0.129212
0.330565 0.0305501
0.333342 0.0333268
0.334097 0.13409
0.334416 0.0344013
0.335078 0.0350629
0.336082 0.0360667
0.336806 0.0367906
0.338494 0.138486
0.340244 0.140237
0.340781 0.140774
0.344024 0.144017
0.345277 0.0452621
0.348396 0.048381
0.348964 0.0489493
0.35087 0.0508551
0.35119 0.0511746
0.351509 0.0514941
0.355686 0.0556705
0.360857 0.0608423
0.365407 0.0653919
0.3661 0.0660847
0.366637 0.0666219
0.372431 0.0724157
0.37275 0.0727352
0.373661 0.0736457
0.3751 0.075085
0.380738 0.0807233
0.381058 0.0810428
0.381377 0.0813623
0.383128 0.0831126
0.384847 0.0848317
0.385571 0.0855556
0.386046 0.0860306
0.386365 0.0863501
0.389204 0.0891891
0.391483 0.0914681
0.393078 0.0930629
0.393429 0.0934135
0.393841 0.0938263
0.394316 0.0943014
0.39504 0.0950252
0.395889 0.0958735
0.396208 0.096193
0.396528 0.0965125
0.397376 0.0973608
0.398162 0.0981468
0.399446 0.0994306
0.401476 0.101461
0.401951 0.101936
0.40227 0.102255
0.402652 0.102637
0.404247 0.104232
0.405095 0.10508
0.406721 0.106706
0.407134 0.107119
0.407453 0.107438
0.409328 0.109313
0.40971 0.109695
0.40971 0.109695
0.410745 0.11073
0.411655 0.0116323
0.411975 0.11196
0.41273 0.112715
0.413049 0.113034
0.413369 0.0133458
0.41403 0.114015
0.415563 0.115548
0.415976 0.0159528
0.416575 0.0165522
0.420254 0.020231
0.421009 0.0209859
0.42195 0.121935
0.42227 0.122255
0.423087 0.123072
0.423407 0.0233837
0.423726 0.123711
