% ut_id throughput_kbps
100 2975.47
99 2976.31
98 2977.04
97 2974.71
96 2979.03
95 2978.6
94 2945.08
93 2979.5
92 2977.91
91 2976.53
90 2975.77
89 2981.12
88 2975.81
87 2978.48
86 2947.23
85 2949.92
84 2952.98
83 2978.72
82 2979.09
81 2977.3
80 2974.08
79 2978.88
78 2979.24
77 2963.68
76 2962.14
75 2957.14
74 2944.65
73 2967.94
72 2962.26
71 2958.37
70 2949.56
69 2945.65
68 2959.48
67 2949.57
66 2950.34
65 2949.4
64 2949.02
63 2954.39
62 2948.77
61 2944.97
60 2979.94
59 2976.95
58 2948.18
57 2961.67
56 2946.85
55 2976.46
54 2979.16
53 2963.18
52 2962.82
51 2947.48
50 2947.85
49 2934.16
48 2977.27
47 2964.22
46 2960.84
45 2980.2
44 2978.14
43 2979.71
42 2980.26
41 2979.54
40 2980.29
39 2979
38 2949.22
37 2947.03
36 2949.98
35 2978.87
34 2953
33 2948.61
32 2947.94
31 2979.95
30 2981.59
29 2980.6
28 2965.74
27 2963.4
26 1643.74
25 2949.49
24 2976.75
23 2944.94
22 2945.73
21 2946.62
20 2976.34
19 2973.22
18 2961.99
17 2958.55
16 2947.34
15 2951.88
14 2948.08
13 2959.97
12 2957.52
11 2961.02
10 2957.84
9 2945.53
8 2945.6
7 2949.5
6 2943.89
5 2945.77
4 2961.34
3 2950.5
2 982.339
1 2982.03

