% ut_id throughput_kbps
100 2089.82
99 2078.48
98 2089.91
97 2078.75
96 2051.05
95 2078.75
94 2062.18
93 2073.93
92 2089.78
91 2090.34
90 2083.47
89 2050.61
88 2090.4
87 2050.84
86 2050.85
85 2062.84
84 2062.67
83 2073.62
82 2078.67
81 2089.86
80 2089.82
79 2078.34
78 2078.16
77 2078.47
76 2089.89
75 2049.99
74 2062.84
73 2063.05
72 2089.91
71 2090.06
70 2063.4
69 2089.78
68 2089.79
67 2050.81
66 2089.8
65 2089.64
64 2090.93
63 2090.62
62 2090.53
61 2079.27
60 2091.41
59 2091.41
58 2091.1
57 2090.75
56 2089.72
55 2091.5
54 2091.5
53 2080.21
52 2091.53
51 2078.75
50 2078.53
49 2093.26
48 2093.26
47 2219.81
46 2080.91
45 2080.02
44 2166.59
43 2166.59
42 2166.63
41 2166.63
40 2166.63
39 2166.59
38 2154.86
37 2090.73
36 2090.45
35 2090.72
34 2091.41
33 2090.21
32 2090.11
31 2090.43
30 2090.97
29 2091.19
28 2091.05
27 2091.05
26 2076.92
25 2090.26
24 2074.73
23 2091.11
22 2090.88
21 2087.37
20 2090.83
19 2090.83
18 2090.88
17 2090.61
16 2085.18
15 2090.67
14 2090.59
13 2090.08
12 2090.08
11 2078.45
10 2078.48
9 2089.54
8 2078.75
7 2090.49
6 2090.02
5 2090.03
4 2089.83
3 2079.27
2 2074.29
1 2085.34

