% ut_id throughput_kbps
100 2073
99 2061.69
98 2072.99
97 2061.85
96 2034.05
95 2061.98
94 2045.44
93 2055.6
92 2072.64
91 2073.69
90 2066.73
89 2034.25
88 2073.27
87 2034.63
86 2033.62
85 2045.88
84 2045.98
83 2057.18
82 2061.12
81 2072.1
80 2072.26
79 2061.66
78 2061.28
77 2061.28
76 2072.49
75 2032.95
74 2046.8
73 2046.34
72 2072.42
71 2072.25
70 2045.98
69 2072.73
68 2072.63
67 2034.32
66 2072.83
65 2072.59
64 2074.08
63 2073.36
62 2073.65
61 2062.69
60 2074.17
59 2074.06
58 2074.26
57 2073.35
56 2072.44
55 2074.67
54 2074.62
53 2063.19
52 2074.57
51 2061.9
50 2061.58
49 2074.9
48 2074.93
47 2074.59
46 2063.48
45 2062.93
44 2074.61
43 2075.12
42 2074.77
41 2074.82
40 2074.99
39 2074.77
38 2063.38
37 2074.15
36 2073.49
35 2073.57
34 2074.29
33 2073.57
32 2072.2
31 2072.98
30 2074.42
29 2074.59
28 2074.61
27 2074.5
26 2060.59
25 2073.45
24 2058.31
23 2074.57
22 2074.2
21 2070.4
20 2073.83
19 2074.03
18 2074.41
17 2074.59
16 2068.64
15 2073.9
14 2073.94
13 2072.95
12 2072.95
11 2061.67
10 2061.51
9 2072.68
8 2061.02
7 2073.66
6 2072.71
5 2072.09
4 2072.32
3 2062.21
2 2057.81
1 2067.11

