% time_sec delay_sec
1.20112 0.100529
1.20112 0.100529
1.30111 0.100525
1.4011 0.100511
1.49879 0.402887
1.50112 0.100531
1.60111 0.100519
1.7011 0.100514
1.80117 0.10058
1.8013 0.402715
1.9011 0.100517
2.00109 0.100505
2.09851 0.397923
2.10191 0.106006
2.19878 0.19481
2.20192 0.106018
2.20407 0.102112
2.20593 0.105989
2.20993 0.105959
2.21406 0.10606
2.21999 0.107956
2.2241 0.106009
2.22817 0.106043
2.2321 0.105948
2.23614 0.105946
2.24078 0.10656
2.24431 0.106052
2.24822 0.105926
2.25238 0.10606
2.2563 0.105938
2.26242 0.106013
2.26646 0.106022
2.2704 0.105927
2.2746 0.106093
2.2789 0.106356
2.28262 0.10604
2.28703 0.106425
2.29094 0.1063
2.29479 0.106113
2.29492 0.106241
2.30036 0.107654
2.30049 0.107782
2.30408 0.102129
2.30453 0.10661
2.30991 0.107958
2.31402 0.106011
2.31414 0.106139
2.31818 0.106141
2.32244 0.106369
2.32625 0.106142
2.33009 0.105954
2.3342 0.106023
2.33824 0.106032
2.34243 0.106195
2.34824 0.107964
2.35234 0.106019
2.35629 0.105928
2.36032 0.105933
2.36436 0.105935
2.3684 0.105937
2.37249 0.106002
2.37689 0.106362
2.3806 0.106046
2.38467 0.10608
2.3848 0.106208
2.39114 0.108517
2.39499 0.106313
2.40037 0.107663
2.4038 0.101842
2.40424 0.106323
2.4079 0.105943
2.41193 0.105946
2.41603 0.10601
2.42001 0.105953
2.42408 0.105988
2.4285 0.106376
2.43209 0.105931
2.43815 0.10796
2.44225 0.10601
2.44622 0.10595
2.45026 0.105951
2.45436 0.10602
2.4583 0.105928
2.4624 0.105996
2.46644 0.105998
2.47048 0.106004
2.47465 0.106139
2.48096 0.106402
2.48487 0.106277
2.48532 0.106725
2.48897 0.106343
2.4891 0.106471
2.49326 0.106603
2.49883 0.108136
2.50184 0.105937
2.50408 0.102128
2.50594 0.106005
2.50991 0.105941
2.51401 0.106006
2.51821 0.106171
2.5225 0.106431
2.52821 0.108103
2.52834 0.108232
2.53212 0.105961
2.53612 0.105931
2.5408 0.106577
2.54426 0.106007
2.54824 0.105947
