id,value_kbps,value_mbps
100,2887.16,2.88716
99,2887.48,2.88748
98,2868.96,2.86896
97,2886.48,2.88648
96,2886.52,2.88652
95,2885.7,2.8857
94,2857.46,2.85746
93,2886.36,2.8863600000000003
92,2888.46,2.88846
91,2888.83,2.88883
90,2886.81,2.88681
89,2887.35,2.88735
88,2886.72,2.88672
87,2886.78,2.8867800000000003
86,2857.73,2.85773
85,2856.56,2.85656
84,2859.19,2.85919
83,2888.16,2.88816
82,2889.06,2.88906
81,2833.27,2.83327
80,2884.48,2.88448
79,2887.2,2.8872
78,2887.47,2.88747
77,2846.71,2.84671
76,2870.06,2.87006
75,2862.85,2.86285
74,2858.32,2.85832
73,2880.87,2.88087
72,2863.08,2.86308
71,2870.38,2.87038
70,2856.7,2.8567
69,2856.0,2.856
68,2861.7,2.8617
67,2861.34,2.86134
66,2857.81,2.85781
65,2856.68,2.85668
64,2857.69,2.85769
63,2745.58,2.74558
62,2818.14,2.81814
61,2856.97,2.85697
60,2862.51,2.8625100000000003
59,2884.93,2.88493
58,2845.03,2.8450300000000004
57,2870.9,2.8709
56,2857.31,2.85731
55,2884.66,2.88466
54,2886.73,2.88673
53,2871.76,2.87176
52,2872.49,2.87249
51,2857.93,2.85793
50,2857.29,2.85729
49,2842.32,2.84232
48,2884.72,2.88472
47,2775.52,2.77552
46,2868.93,2.86893
45,2826.92,2.82692
44,2841.73,2.84173
43,2849.12,2.84912
42,2885.71,2.88571
41,2884.63,2.88463
40,2854.45,2.85445
39,2884.56,2.88456
38,2856.82,2.8568200000000004
37,2856.01,2.8560100000000004
36,2856.04,2.85604
35,2877.28,2.8772800000000003
34,2795.59,2.79559
33,2856.69,2.85669
32,2856.58,2.85658
31,2887.09,2.88709
30,2888.03,2.88803
29,2888.42,2.88842
28,2871.39,2.87139
27,2871.48,2.87148
26,1577.51,1.57751
25,2856.04,2.85604
24,2886.47,2.88647
23,2858.61,2.85861
22,2858.02,2.85802
21,2855.77,2.85577
20,2886.17,2.88617
19,2885.73,2.88573
18,2786.1,2.7861
17,2871.13,2.87113
16,2857.65,2.85765
15,2861.02,2.86102
14,2856.28,2.8562800000000004
13,2871.47,2.87147
12,2870.48,2.87048
11,2781.87,2.78187
10,2868.87,2.86887
9,2855.97,2.85597
8,2858.36,2.85836
7,2855.91,2.85591
6,2856.96,2.85696
5,2856.98,2.85698
4,2870.06,2.87006
3,2856.14,2.85614
2,929.299,0.929299
1,2888.42,2.88842
