id,value_kbps,value_mbps
100,2009.97,2.00997
99,1915.76,1.91576
98,2079.27,2.07927
97,2016.71,2.0167100000000002
96,2051.08,2.05108
95,2078.74,2.07874
94,1722.36,1.72236
93,2073.96,2.07396
92,2089.61,2.08961
91,2090.28,2.0902800000000004
90,1854.28,1.85428
89,1952.66,1.95266
88,1947.91,1.94791
87,1772.19,1.7721900000000002
86,2030.89,2.0308900000000003
85,1984.33,1.98433
84,1748.46,1.7484600000000001
83,2074.13,2.0741300000000003
82,2059.01,2.0590100000000002
81,2039.36,2.03936
80,1766.83,1.76683
79,2078.34,2.0783400000000003
78,1994.22,1.99422
77,2013.35,2.01335
76,1784.04,1.78404
75,1978.27,1.97827
74,2048.16,2.0481599999999998
73,2063.12,2.06312
72,1919.47,1.91947
71,2015.35,2.0153499999999998
70,2041.19,2.04119
69,2047.65,2.04765
68,1864.33,1.8643299999999998
67,1757.89,1.7578900000000002
66,2022.64,2.02264
65,2021.08,2.02108
64,1738.01,1.73801
63,1885.81,1.88581
62,2009.0,2.009
61,1958.09,1.9580899999999999
60,1847.65,1.84765
59,1617.79,1.61779
58,1986.05,1.9860499999999999
57,2037.89,2.03789
56,2052.29,2.05229
55,1554.47,1.55447
54,1702.26,1.7022599999999999
53,2027.69,2.02769
52,1383.1,1.3831
51,2036.99,2.03699
50,1936.37,1.93637
49,2093.29,2.09329
48,2093.29,2.09329
47,1848.59,1.84859
46,1935.26,1.93526
45,1818.33,1.81833
44,1729.73,1.72973
43,967.055,0.967055
42,1174.42,1.17442
41,1055.38,1.0553800000000002
40,1139.82,1.1398199999999998
39,927.439,0.927439
38,1953.86,1.95386
37,1631.48,1.63148
36,1803.16,1.80316
35,2019.86,2.01986
34,1412.05,1.41205
33,2024.63,2.02463
32,1981.4,1.9814
31,1860.99,1.86099
30,2020.32,2.02032
29,1841.46,1.84146
28,2037.68,2.03768
27,2033.15,2.03315
26,1632.32,1.63232
25,1850.0,1.85
24,1839.22,1.83922
23,1793.08,1.79308
22,2028.48,2.02848
21,1946.11,1.94611
20,1877.39,1.8773900000000001
19,1905.4,1.9054
18,1476.83,1.4768299999999999
17,1437.44,1.43744
16,1991.79,1.99179
15,1582.98,1.58298
14,2005.52,2.00552
13,2001.82,2.00182
12,1882.48,1.88248
11,1894.96,1.89496
10,1966.66,1.96666
9,1937.23,1.93723
8,2003.18,2.00318
7,2011.18,2.01118
6,1793.72,1.79372
5,1809.42,1.80942
4,1997.05,1.99705
3,1959.53,1.95953
2,2005.44,2.00544
1,2014.58,2.01458
